work_package_id,title,lane,objective,depends_on,linked_workstreams,current_state,evidence_signal,blocker_summary,gate_to_close,key_procurement_actions
WP01,Body Floor Rust Closure,body_structure,Close floor/rust repairs and welding scope before sealing products.,stripdown_cataloguing_complete,body_chassis|chassis_fixing,in_progress,"rust_assessment_photos=33, stripdown_photos=106",6 body material rows still need buy execution.,Rust map signed off and repaired zones primed.,Confirm price/order for primer + bedliner + metal protection stack.
WP01A,Tub Lift + Mount-Point Mapping,body_structure,Map every body/chassis mount point and shim position before interface welding.,stripdown_cataloguing_complete,body_chassis|chassis_fixing,queued,body_mount_point_photos_pending,"Mount-condition matrix and per-point repair action list still open.",Tub lifted and every body/chassis mount point mapped before welding closure.,"Tag all mount points, captive nuts, shim positions, hole condition, and required repair action before refit planning."
WP01B,Chassis/Tub Interface Weld Closure,body_structure,Repair and protect all tub/chassis interface weld zones with dimensional checks.,WP01A,body_chassis|chassis_fixing,queued,mount_interface_closure_pending,Interface closures cannot proceed until WP01A mapping signoff is complete.,"All mount interfaces weld-repaired, protected, and dimension-checked for refit.","No final tub refit until all mount points pass straightness/fit and anti-corrosion prep checks."
WP02,Panel + Seals Refurbishment Returns,body_weather_seal,Return removable panels and seals/windows in refurb-ready condition for fit-up.,WP01,stripdown_cataloguing|body_chassis,in_progress,component_refurbish_candidates=7,Vendor scope/return status tracking must be explicit per component.,Doors/hood/windows/rubbers mechanically serviceable and tagged for refit.,Only buy replacement seals/mechanisms after refurbish inspection confirms non-reusable items.
WP02A,Tub Refit Interface + Rubber Kit Control,body_weather_seal,Lock body-mount rubber and shim stack for trial fit before permanent fastening.,WP01B,body_chassis|chassis_fixing|chassis_rubbers|interior_weatherproofing,queued,tub_refit_interface_trial_fit_pending,Body mount interface hardware and shim stack are not fully locked yet.,"Body mount rubbers, hardware, and shims selected and trial-fitted before final torque.",Capture exact attachment points and shim stack plan before permanent tub-to-chassis fastening.
WP03,Electrical Baseline Finalization,electrical,"Complete baseline harness termination, grounding, and fuse/relay validation.",stripdown_cataloguing_complete,electrical_reset,in_progress,electrical_rework_photos=129,2 electrical buy rows still open; 4 rows should be stock-verified before re-buy.,Start/charge/lights/horn/wipers/gauges baseline passes functional checks.,Order selected harness/sleeving path; verify on-hand connectors/relays before duplicate buys.
WP03A,Dashboard Switch Fit-Up + Fascia Decision Gate,electrical,Allocate and mechanically fit ordered dash switches with verified clearances.,WP03,interior_controls|electrical_reset,queued,dash_switch_fitup_evidence_pending,Switch allocation and final fascia overflow decision are still open.,All ordered Schneider switches allocated and mechanically fitted with clearance-confirmed panel mounting.,"Planned allocation: right cluster 4 controls, AC mid-cluster 2 controls; use auxiliary fascia only for any overflow/clearance conflict."
WP03B,Diesel Cutoff + Ignition Security Integration,electrical,Integrate key-off diesel cutoff and starter interrupt with fallback safety path.,WP03|WP03A,interior_controls|electrical_reset,queued,diesel_cutoff_security_evidence_pending,Ignition-security integration and validation test path not yet completed.,Key OFF reliably cuts diesel solenoid and starter interrupt path is validated.,Retain manual diesel cutoff cable as emergency backup; normal run/stop controlled by ignition logic.
WP04,Mechanical Service Baseline,mechanical,Execute reliability service pack and document defects before upgrades.,stripdown_cataloguing_complete,mechanical_baseline|brake_system,queued,engine_bay baseline evidence present; service pack rows prepared,18 mechanical safety/service rows need pricing + order.,Cooling/fuel/ignition/service baseline complete with leak-free checks.,Batch-buy must-replace consumables; keep inspect-then-replace items gated to inspection findings.
WP04A,Low-Cost Gearshift Refinement Pass,mechanical,Execute low-cost shifter refinement before considering deeper gearbox scope.,WP04,mechanical_baseline,queued,gearshift_refinement_pending,Shifter wear diagnosis and short-scope remediation still pending.,Shifter feel improved and no disengagement under road-test load.,"Scope only: shifter bush/seat/socket service, gearbox oil, clutch hydraulic check/bleed, mount inspection/replacement as needed. No engine swap; no full gearbox rebuild unless fault persists."
WP04B,Tub-Off Engine Access Service + Inspection,mechanical,Use tub-off access to inspect and service top-side engine and linkage items.,WP01A,mechanical_baseline|body_chassis,queued,tub_off_engine_access_inspection_pending,Tub-off condition report and buy/no-buy decisions are not yet frozen.,Engine-bay access inspection closed with condition-based replacement list.,"While tub is off: inspect mounts, hoses, lines, clamps, seals, linkage, and gearbox top-side service items."
WP04C,Suspension Setup: Ironman Foam Cell Medium Kit,suspension_upgrade,Install and validate Ironman foam cell medium suspension with matched hardware refresh.,WP01B,suspension_upgrade,queued,suspension_geometry_validation_pending,Kit lock and geometry checks must close before final torque.,Ironman foam cell medium suspension with greasable shackles and greasable pins installed and aligned.,Lock Ironman medium kit procurement and avoid duplicate separate shackle/pin buys included in the kit.
WP05,Interior Weatherproofing Stack,interior,Apply sealing/lining/dampening/foam/carpet in moisture-safe sequence.,WP01,interior_weatherproofing|interior_controls,blocked,deferred rows indicate intentional hold until body closure,Interior finish materials are deferred until floor/body sealing gate closes.,Cabin sealed and dry before trim/final fit.,Do not buy full interior finish stack early; release purchases by phase gate.
WP06,Reassembly + Validation,integration,Controlled re-fit and end-to-end validation with punch-list closure.,WP02|WP02A|WP03|WP04|WP04A|WP04B|WP04C|WP05|WP03A|WP03B,final_assembly_validation,queued,Prerequisite work packages not yet gate-closed,"Needs closure of body, electrical, and mechanical baseline packages.",Roadworthy baseline validation passed with residual defects logged.,Only release optional upgrades after baseline validation sign-off. Tub refit control and suspension setup must close first.
WP07,Donor Vitz EPS Integration,steering_upgrade,Integrate donor Vitz EPS with verified mount geometry shaft alignment and assist control wiring.,WP03|WP04,eps_vitz_upgrade,queued,EPS donor path approved by owner and workshop,Mechanical adapter and wiring strategy still needs scope freeze and parts confirmation.,EPS assists smoothly through full steering range with no binding or collision under load.,Release EPS-specific procurement only after fitment geometry and electrical control path are frozen.
WP08,Suspension Upgrade Execution,suspension_upgrade,Upgrade suspension components from measured baseline and validate ride/clearance/alignment under load.,WP04,suspension_upgrade,queued,Upgrade direction set to Ironman foam cell medium kit with matching hardware,Ironman medium kit is selected; full procurement lock and fitment scheduling are pending baseline inspection outcomes.,Suspension upgrade completes with safe handling and no unresolved chassis or brake conflicts.,Order the Ironman medium kit as one locked set and only add non-included bushes/hardware after measurement confirmation.
